,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
15th-c folio,4,22,70,92,43,13,1,0,0,0,0,0,0,9,0,11,7,0,2,3,0
16th-c folio,89,446,627,376,63,4,0,0,0,0,0,3,0,3,0,3,90,11,34,29,1
17th-c folio,294,672,707,304,25,2,1,1,0,0,0,0,0,0,0,0,169,35,37,16,24
18th-c folio,468,325,147,55,5,1,1,0,0,0,0,0,0,0,0,0,111,19,4,8,4
15th-c quarto,0,27,46,52,10,1,0,0,0,0,0,1,1,0,0,1,4,0,0,1,0
16th-c quarto,289,1265,241,195,20,1,1,0,0,0,0,1,2,0,6,3,39,32,10,11,1
17th-c quarto,836,2389,271,158,18,1,1,0,0,0,0,0,0,0,0,0,105,50,15,16,5
18th-c quarto,999,1227,85,247,23,4,1,1,0,1,0,0,0,0,0,0,104,26,3,2,2
15th-c octavo,0,9,5,17,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16th-c octavo,89,1021,108,2082,58,5,0,0,0,0,0,0,0,0,0,0,56,13,3,19,1
17th-c octavo,316,1004,178,1929,14,32,0,11,0,0,0,0,0,0,1,0,98,25,2,12,5
18th-c octavo,1114,1587,457,2372,40,29,3,14,1,1,0,0,0,0,17,0,138,26,5,10,8
15th-c duodecimo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16th-c duodecimo,13,28,38,42,2,114,0,0,0,0,0,0,1,0,10,0,4,1,0,2,0
17th-c duodecimo,243,406,610,299,66,1314,4,1,1,0,3,0,5,0,137,0,47,4,5,1,4
18th-c duodecimo,656,505,668,378,80,1108,4,1,0,0,3,1,5,0,211,0,58,7,9,5,1
